1:1847500:2345000	1:4737500:5555000
1:4737500:5555000	1:8026250:8400625
1:8026250:8400625	1:8406875:9030000
1:8406875:9030000	1:9172500:9555000
1:9172500:9555000	1:9785000:10215000
1:9785000:10215000	1:10247500:10567500
1:10247500:10567500	1:11081250:11712500
1:11081250:11712500	1:12102500:12272500
1:12102500:12272500	1:12277500:13340000
1:12277500:13340000	1:13630000:14137500
1:13630000:14137500	1:14217500:15487500
1:14217500:15487500	1:15857500:16092500
1:15857500:16092500	1:16097500:16385000
1:16097500:16385000	1:17947500:18650625
1:17947500:18650625	1:18917500:19200000
1:18917500:19200000	1:19205000:19388750
1:19205000:19388750	1:19396250:19587500
1:19396250:19587500	1:19632500:20035000
1:19632500:20035000	1:20167500:20826250
1:20167500:20826250	1:20987500:21530000
1:20987500:21530000	1:21950000:22347500
1:21950000:22347500	1:22417500:23005000
1:22417500:23005000	1:23015000:23272500
1:23015000:23272500	1:23801250:24087500
1:23801250:24087500	1:24092500:24302500
1:24092500:24302500	1:25167500:25573125
1:25167500:25573125	1:26147500:26347500
1:26147500:26347500	1:26352500:26500625
1:26352500:26500625	1:26512500:26807500
1:26512500:26807500	1:26812500:27244375
1:26812500:27244375	1:28150000:28560000
1:28150000:28560000	1:29200000:29557500
1:29200000:29557500	1:29562500:31177500
1:29562500:31177500	1:31626250:32075000
1:31626250:32075000	1:32267500:32562500
1:32267500:32562500	1:33327500:33557500
1:33327500:33557500	1:33952500:35292500
1:33952500:35292500	1:35900000:36022500
1:35900000:36022500	1:36027500:36265000
1:36027500:36265000	1:36297500:36547500
1:36297500:36547500	1:36605000:36790000
1:36605000:36790000	1:36945000:37900000
1:36945000:37900000	1:37905000:38172500
1:37905000:38172500	1:38177500:38492500
1:38177500:38492500	1:38497500:39307500
1:38497500:39307500	1:39502500:39732500
1:39502500:39732500	1:39737500:40052500
1:39737500:40052500	1:40057500:40255000
1:40057500:40255000	1:40260000:40500000
1:40260000:40500000	1:40505000:40913125
1:40505000:40913125	1:41007500:41482500
1:41007500:41482500	1:41720000:41900000
1:41720000:41900000	1:41905000:42592500
1:41905000:42592500	1:42605000:43222500
1:42605000:43222500	1:43227500:43655000
1:43227500:43655000	1:43660000:43961250
1:43660000:43961250	1:44141250:44452500
1:44141250:44452500	1:44655000:44830000
1:44655000:44830000	1:44835000:45182500
1:44835000:45182500	1:45197500:45467500
1:45197500:45467500	1:45472500:45795000
1:45472500:45795000	1:45800000:46057500
1:45800000:46057500	1:46484375:46698750
1:46484375:46698750	1:47871875:48195000
1:47871875:48195000	1:48555000:48720000
1:48555000:48720000	1:50827500:51142500
1:50827500:51142500	1:51200000:51685000
1:51200000:51685000	1:51787500:51997500
1:51787500:51997500	1:52510000:52802500
1:52510000:52802500	1:52817500:53162500
1:52817500:53162500	1:54417500:55380000
1:54417500:55380000	1:55500000:55757500
1:55500000:55757500	1:57227500:58840000
1:57227500:58840000	1:58952500:59135000
1:58952500:59135000	1:60422500:61272500
1:60422500:61272500	1:62882500:63285000
1:62882500:63285000	1:63290000:63774375
1:63290000:63774375	1:63783125:64032500
1:63783125:64032500	1:64037500:64720000
1:64037500:64720000	1:64725000:65155000
1:64725000:65155000	1:65192500:65318750
1:65192500:65318750	1:65326250:65505000
1:65326250:65505000	1:65672500:65895000
1:65672500:65895000	1:65900000:66170000
1:65900000:66170000	1:66397500:66715000
1:66397500:66715000	1:66720000:66982500
1:66720000:66982500	1:67982500:68272500
1:67982500:68272500	1:68312500:68535000
1:68312500:68535000	1:70437500:70585000
1:70437500:70585000	1:70590000:70977500
1:70590000:70977500	1:70982500:71555000
1:70982500:71555000	1:74370000:75217500
1:74370000:75217500	1:75702500:76160000
1:75702500:76160000	1:76177500:76292500
1:76177500:76292500	1:76297500:76605000
1:76297500:76605000	1:76617500:77605000
1:76617500:77605000	1:77610000:78015000
1:77610000:78015000	1:79215000:79847500
1:79215000:79847500	1:82552500:83775625
1:82552500:83775625	1:83875625:84327500
1:83875625:84327500	1:84332500:84912500
1:84332500:84912500	1:84917500:85292500
1:84917500:85292500	1:85405000:85740000
1:85405000:85740000	1:85745000:86032500
1:85745000:86032500	1:86057500:86195000
