1:1612500:1847500	1:4384375:5522500
1:4384375:5522500	1:6727500:7027500
1:6727500:7027500	1:8417500:8550000
1:8417500:8550000	1:9856875:10427500
1:9856875:10427500	1:12200000:13340000
1:12200000:13340000	1:13630000:14152500
1:13630000:14152500	1:14280000:15360625
1:14280000:15360625	1:15435000:15645000
1:15435000:15645000	1:15857500:16090000
1:15857500:16090000	1:16095000:16392500
1:16095000:16392500	1:17798125:17997500
1:17798125:17997500	1:18002500:18800000
1:18002500:18800000	1:19200000:19388750
1:19200000:19388750	1:19396250:19585000
1:19396250:19585000	1:19640000:20045000
1:19640000:20045000	1:20187500:20826250
1:20187500:20826250	1:20977500:21547500
1:20977500:21547500	1:21552500:21812500
1:21552500:21812500	1:22610000:22982500
1:22610000:22982500	1:22987500:23277500
1:22987500:23277500	1:23282500:23602500
1:23282500:23602500	1:23798750:24010000
1:23798750:24010000	1:24080000:24365000
1:24080000:24365000	1:24375000:24960000
1:24375000:24960000	1:24965000:25162500
1:24965000:25162500	1:25182500:25572500
1:25182500:25572500	1:26147500:26365000
1:26147500:26365000	1:26487500:26782500
1:26487500:26782500	1:26795000:27243125
1:26795000:27243125	1:27254375:27622500
1:27254375:27622500	1:27712500:28095000
1:27712500:28095000	1:28100000:28671250
1:28100000:28671250	1:29110000:29567500
1:29110000:29567500	1:29572500:31172500
1:29572500:31172500	1:31177500:31427500
1:31177500:31427500	1:31842500:32045000
1:31842500:32045000	1:32280000:32750000
1:32280000:32750000	1:32918750:33283750
1:32918750:33283750	1:33616875:34005000
1:33616875:34005000	1:34035000:35270000
1:34035000:35270000	1:36267500:36547500
1:36267500:36547500	1:36552500:36970000
1:36552500:36970000	1:36975000:37885000
1:36975000:37885000	1:38245000:38497500
1:38245000:38497500	1:38502500:39307500
1:38502500:39307500	1:39408125:39750000
1:39408125:39750000	1:39760000:40052500
1:39760000:40052500	1:40242500:40450000
1:40242500:40450000	1:40455000:41040000
1:40455000:41040000	1:41672500:41912500
1:41672500:41912500	1:41917500:42652500
1:41917500:42652500	1:42667500:43230000
1:42667500:43230000	1:43235000:43360000
1:43235000:43360000	1:43365000:43645000
1:43365000:43645000	1:43650000:43972500
1:43650000:43972500	1:44126250:44468750
1:44126250:44468750	1:44802500:45187500
1:44802500:45187500	1:45797500:46115000
1:45797500:46115000	1:46485000:46698750
1:46485000:46698750	1:46877500:47292500
1:46877500:47292500	1:47885000:48195000
1:47885000:48195000	1:51165000:51795000
1:51165000:51795000	1:51807500:52465000
1:51807500:52465000	1:54252500:54430000
1:54252500:54430000	1:55500000:55757500
1:55500000:55757500	1:57337500:58732500
1:57337500:58732500	1:59127500:60335000
1:59127500:60335000	1:60380000:61267500
1:60380000:61267500	1:61272500:62487500
1:61272500:62487500	1:62885000:63287500
1:62885000:63287500	1:63764375:64030000
1:63764375:64030000	1:64067500:64715000
1:64067500:64715000	1:64720000:65318750
1:64720000:65318750	1:65326250:65525000
1:65326250:65525000	1:65687500:65920000
1:65687500:65920000	1:65925000:66172500
1:65925000:66172500	1:66395000:66692500
1:66395000:66692500	1:67667500:67982500
1:67667500:67982500	1:67987500:68270000
1:67987500:68270000	1:68515000:69005000
1:68515000:69005000	1:69017500:70272500
1:69017500:70272500	1:70290000:70585000
1:70290000:70585000	1:70590000:71002500
1:70590000:71002500	1:71040000:71577500
1:71040000:71577500	1:73622500:74257500
1:73622500:74257500	1:74647500:75370000
1:74647500:75370000	1:75572500:76147500
1:75572500:76147500	1:76152500:76300000
1:76152500:76300000	1:76467500:77597500
1:76467500:77597500	1:77602500:78178125
1:77602500:78178125	1:78184375:78585000
1:78184375:78585000	1:78595000:79192500
1:78595000:79192500	1:80964375:82217500
1:80964375:82217500	1:83873750:84337500
1:83873750:84337500	1:84905000:85415000
1:84905000:85415000	1:86780000:87140625
1:86780000:87140625	1:87567500:87912500
1:87567500:87912500	1:89090000:89352500
1:89090000:89352500	1:89365000:89937500
1:89365000:89937500	1:89942500:90077500
1:89942500:90077500	1:91359375:91732500
1:91359375:91732500	1:91855000:92417500
1:91855000:92417500	1:92422500:92760000
1:92422500:92760000	1:92765000:93182500
1:92765000:93182500	1:93292500:93740000
1:93292500:93740000	1:94065000:94415000
1:94065000:94415000	1:94420000:94825000
1:94420000:94825000	1:94910000:95312500
1:94910000:95312500	1:95317500:95602500
1:95317500:95602500	1:96650000:97405000
1:96650000:97405000	1:97410000:98555000
1:97410000:98555000	1:98560000:99030000
1:98560000:99030000	1:99035000:99577500
1:99035000:99577500	1:99582500:100207500
1:99582500:100207500	1:100212500:100672500
1:100212500:100672500	1:100915000:101367500
1:100915000:101367500	1:101372500:101875000
1:101372500:101875000	1:103505000:104201875
1:103505000:104201875	1:108082500:108857500
1:108082500:108857500	1:109287500:109492500
1:109287500:109492500	1:109497500:109765000
1:109497500:109765000	1:110075000:110185000
1:110075000:110185000	1:110317500:110582500
1:110317500:110582500	1:111047500:111352500
1:111047500:111352500	1:111542500:111972500
1:111542500:111972500	1:111977500:112377500
1:111977500:112377500	1:112867500:113252500
1:112867500:113252500	1:113300000:113615000
1:113300000:113615000	1:113625000:114270000
1:113625000:114270000	1:114275000:114510000
1:114275000:114510000	1:114515000:114877500
1:114515000:114877500	1:114882500:115352500
1:114882500:115352500	1:115470000:115667500
1:115470000:115667500	1:115672500:116152500
1:115672500:116152500	1:116320000:116640000
1:116320000:116640000	1:117215000:117682500
1:117215000:117682500	1:118382500:118517500
1:118382500:118517500	1:118667500:119645000
1:118667500:119645000	1:119655000:120067500
1:119655000:120067500	1:120072500:120715000
1:120072500:120715000	1:144400000:145187500
1:144400000:145187500	1:145312500:145896250
1:145312500:145896250	1:149227500:150205000
1:149227500:150205000	1:150236250:150995000
1:150236250:150995000	1:151022500:151255000
1:151022500:151255000	1:151402500:151847500
1:151402500:151847500	1:151860000:152025000
1:151860000:152025000	1:152030000:152160625
1:152030000:152160625	1:152171875:152450000
1:152171875:152450000	1:154612500:154902500
1:154612500:154902500	1:155812500:156046250
1:155812500:156046250	1:156058750:156325000
1:156058750:156325000	1:156422500:156641250
1:156422500:156641250	1:157150000:157513750
1:157150000:157513750	1:157927500:158067500
1:157927500:158067500	1:158082500:158467500
1:158082500:158467500	1:158472500:159082500
1:158472500:159082500	1:159180000:159737500
1:159180000:159737500	1:159742500:160057500
1:159742500:160057500	1:160145000:160355000
1:160145000:160355000	1:160375000:160625000
1:160375000:160625000	1:160630000:161030000
1:160630000:161030000	1:161158750:161415000
1:161158750:161415000	1:161435000:161722500
1:161435000:161722500	1:161727500:162017500
1:161727500:162017500	1:162022500:162765000
1:162022500:162765000	1:162785000:163355000
1:162785000:163355000	1:164485000:165077500
1:164485000:165077500	1:165252500:165567500
1:165252500:165567500	1:166377500:166785000
1:166377500:166785000	1:167187500:167512500
1:167187500:167512500	1:167517500:167812500
1:167517500:167812500	1:168237500:168550000
1:168237500:168550000	1:168555000:169352500
1:168555000:169352500	1:169505000:169882500
1:169505000:169882500	1:170057500:171157500
1:170057500:171157500	1:171440000:171575000
1:171440000:171575000	1:171580000:172010000
1:171580000:172010000	1:172025000:172392500
1:172025000:172392500	1:172677500:173385000
1:172677500:173385000	1:174210000:174722500
1:174210000:174722500	1:174727500:174995000
1:174727500:174995000	1:175425000:175835000
1:175425000:175835000	1:175875000:176227500
1:175875000:176227500	1:177927500:178257500
1:177927500:178257500	1:178475000:179037500
1:178475000:179037500	1:179062500:179422500
1:179062500:179422500	1:179777500:180167500
1:179777500:180167500	1:180177500:180462500
1:180177500:180462500	1:181313750:181977500
1:181313750:181977500	1:182027500:182552500
1:182027500:182552500	1:182577500:182880000
1:182577500:182880000	1:182885000:183142500
1:182885000:183142500	1:183165000:183575000
1:183165000:183575000	1:183607500:183947500
1:183607500:183947500	1:184000000:184227500
1:184000000:184227500	1:184295000:184675000
1:184295000:184675000	1:185147500:185735000
1:185147500:185735000	1:186342500:187045000
1:186342500:187045000	1:191435000:191800000
1:191435000:191800000	1:191847500:192412500
1:191847500:192412500	1:192747500:193155000
1:192747500:193155000	1:193165000:193770000
1:193165000:193770000	1:193775000:194402500
1:193775000:194402500	1:197047500:197327500
1:197047500:197327500	1:197340000:197905000
1:197340000:197905000	1:197917500:198432500
1:197917500:198432500	1:198730000:199567500
1:198730000:199567500	1:199572500:200092500
1:199572500:200092500	1:200517500:200860000
1:200517500:200860000	1:200885000:201195000
1:200885000:201195000	1:201357500:201667500
1:201357500:201667500	1:201672500:202113750
1:201672500:202113750	1:202131250:202700000
1:202131250:202700000	1:202992500:203220000
1:202992500:203220000	1:203482500:203817500
1:203482500:203817500	1:204102500:204372500
1:204102500:204372500	1:204377500:204565000
1:204377500:204565000	1:204570000:204880000
1:204570000:204880000	1:205742500:205993750
1:205742500:205993750	1:206121250:206395625
1:206121250:206395625	1:207177500:207777500
1:207177500:207777500	1:207972500:208167500
1:207972500:208167500	1:208282500:208455000
1:208282500:208455000	1:208505000:209180625
1:208505000:209180625	1:209727500:210047500
1:209727500:210047500	1:210052500:210490000
1:210052500:210490000	1:210690000:211410000
1:210690000:211410000	1:211837500:212190000
1:211837500:212190000	1:212622500:213377500
1:212622500:213377500	1:213502500:214280000
1:213502500:214280000	1:214837500:215945000
1:214837500:215945000	1:218410000:218707500
1:218410000:218707500	1:218712500:220075000
1:218712500:220075000	1:220080000:220825000
1:220080000:220825000	1:220935000:221425000
1:220935000:221425000	1:221627500:222627500
1:221627500:222627500	1:223950000:224116250
1:223950000:224116250	1:224188750:224657500
1:224188750:224657500	1:224662500:225112500
1:224662500:225112500	1:225495000:226512500
1:225495000:226512500	1:226607500:227712500
1:226607500:227712500	1:227928750:228730625
1:227928750:228730625	1:228766875:229390000
1:228766875:229390000	1:229395000:229682500
1:229395000:229682500	1:230985000:231402500
1:230985000:231402500	1:231430000:231842500
1:231430000:231842500	1:232420000:233485000
1:232420000:233485000	1:233535000:234235000
1:233535000:234235000	1:234240000:234452500
1:234240000:234452500	1:234492500:235282500
1:234492500:235282500	1:235295000:235600625
1:235295000:235600625	1:235802500:235987500
1:235802500:235987500	1:236002500:236232500
1:236002500:236232500	1:236237500:236785000
1:236237500:236785000	1:236800000:237097500
1:236800000:237097500	1:237970000:239214375
1:237970000:239214375	1:241607500:242215000
1:241607500:242215000	1:242472500:243156250
1:242472500:243156250	1:243238750:243970000
1:243238750:243970000	1:244000000:244697500
1:244000000:244697500	1:244707500:244945625
1:244707500:244945625	1:244951875:245240000
1:244951875:245240000	1:245245000:245705000
1:245245000:245705000	1:245825000:246160000
1:245825000:246160000	1:246165000:246637500
1:246165000:246637500	1:246650000:246960000
1:246650000:246960000	1:246970000:247517500
1:246970000:247517500	1:247522500:247825000
1:247522500:247825000	10:116875:677500
10:116875:677500	10:813750:1257500
10:813750:1257500	10:1722500:2840000
10:1722500:2840000	10:2912500:3145000
10:2912500:3145000	10:4845000:5507500
10:4845000:5507500	10:6460000:6742500
10:6460000:6742500	10:11127500:11520000
10:11127500:11520000	10:11525000:11900000
10:11525000:11900000	10:15892500:16425000
10:15892500:16425000	10:16430000:16832500
10:16430000:16832500	10:16837500:17475000
10:16837500:17475000	10:18105625:18640000
10:18105625:18640000	10:18766875:19007500
10:18766875:19007500	10:19080000:19632500
10:19080000:19632500	10:20067500:20790000
10:20067500:20790000	10:21547500:22030000
10:21547500:22030000	10:22252500:22840000
10:22252500:22840000	10:22852500:23425000
10:22852500:23425000	10:23430000:24082500
10:23430000:24082500	10:24125000:24652500
10:24125000:24652500	10:24827500:25462500
10:24827500:25462500	10:26557500:26911250
10:26557500:26911250	10:29752500:30215000
10:29752500:30215000	10:30642500:30970000
10:30642500:30970000	10:32525000:32755000
10:32525000:32755000	10:33058750:33412500
10:33058750:33412500	10:35244375:35518750
10:35244375:35518750	10:35526250:35952500
10:35526250:35952500	10:35957500:37345000
10:35957500:37345000	10:37472500:38087500
10:37472500:38087500	10:38092500:39560000
10:38092500:39560000	10:41450000:42585000
10:41450000:42585000	10:45720000:46375000
10:45720000:46375000	10:46765000:47250000
10:46765000:47250000	10:48407500:48848750
10:48407500:48848750	10:49206250:49862500
10:49206250:49862500	10:50157500:51208125
10:50157500:51208125	10:51733750:52445000
10:51733750:52445000	10:57610000:58820000
10:57610000:58820000	10:59850000:60182500
10:59850000:60182500	10:60187500:60422500
10:60187500:60422500	10:61352500:61845000
10:61352500:61845000	10:61850000:62495000
10:61850000:62495000	10:62507500:62760000
10:62507500:62760000	10:62775000:63582500
10:62775000:63582500	10:63602500:64167500
10:63602500:64167500	10:64320000:64630000
10:64320000:64630000	10:64917500:65585000
10:64917500:65585000	10:65611250:66892500
10:65611250:66892500	10:68320000:69415000
10:68320000:69415000	10:69557500:70243750
10:69557500:70243750	10:70672500:70985000
10:70672500:70985000	10:70990000:71250625
10:70990000:71250625	10:71880000:72180000
10:71880000:72180000	10:72240000:72672500
10:72240000:72672500	10:72677500:72977500
10:72677500:72977500	10:73000000:73567500
10:73000000:73567500	10:73814375:74115000
10:73814375:74115000	10:74120000:74840000
10:74120000:74840000	10:75277500:75477500
10:75277500:75477500	10:75482500:75910000
10:75482500:75910000	10:77028750:77837500
10:77028750:77837500	10:77842500:78347500
10:77842500:78347500	10:78360000:78820000
10:78360000:78820000	10:82034375:82358750
10:82034375:82358750	10:82450000:82820000
10:82450000:82820000	10:85995000:86360000
10:85995000:86360000	10:86465000:88157500
10:86465000:88157500	10:88162500:88430625
10:88162500:88430625	10:89157500:90380000
10:89157500:90380000	10:90432500:90692500
10:90432500:90692500	10:90745000:91012500
10:90745000:91012500	10:91017500:91187500
10:91017500:91187500	10:91192500:91517500
10:91192500:91517500	10:91522500:92485000
10:91522500:92485000	10:92490000:92632500
10:92490000:92632500	10:93090000:93502500
10:93090000:93502500	10:93507500:93787500
