1:1979375:2665000	1:3355000:3861875
1:3355000:3861875	1:5535000:6027500
1:5535000:6027500	1:7690000:8393750
1:7690000:8393750	1:9547500:9785000
1:9547500:9785000	1:9916875:10712500
1:9916875:10712500	1:10983750:11640000
1:10983750:11640000	1:12112500:13339375
1:12112500:13339375	1:13628125:14152500
1:13628125:14152500	1:14280000:15115000
1:14280000:15115000	1:15625000:15842500
1:15625000:15842500	1:15857500:16092500
1:15857500:16092500	1:16097500:16392500
1:16097500:16392500	1:16515000:16878125
1:16515000:16878125	1:17198750:17788750
1:17198750:17788750	1:17972500:19190000
1:17972500:19190000	1:19396250:19577500
1:19396250:19577500	1:19612500:20035000
1:19612500:20035000	1:20217500:20810625
1:20217500:20810625	1:20970000:21528125
1:20970000:21528125	1:21539375:22216875
1:21539375:22216875	1:22323750:22490000
1:22323750:22490000	1:23280000:23630000
1:23280000:23630000	1:23798750:24032500
1:23798750:24032500	1:24062500:24346250
1:24062500:24346250	1:24375000:24952500
1:24375000:24952500	1:25182500:25616875
1:25182500:25616875	1:26137500:26382500
1:26137500:26382500	1:26437500:26752500
1:26437500:26752500	1:26762500:27258750
1:26762500:27258750	1:27851250:28107500
1:27851250:28107500	1:29143750:29598750
1:29143750:29598750	1:29635000:31102500
1:29635000:31102500	1:31147500:31590625
1:31147500:31590625	1:32072500:32257500
1:32072500:32257500	1:32262500:32906250
1:32262500:32906250	1:33631250:33972500
1:33631250:33972500	1:34007500:35270000
1:34007500:35270000	1:35582500:36250000
1:35582500:36250000	1:36255000:36547500
1:36255000:36547500	1:36562500:36995000
1:36562500:36995000	1:37005000:37890000
1:37005000:37890000	1:37895000:38175000
1:37895000:38175000	1:38497500:39092500
1:38497500:39092500	1:40027500:40207500
1:40027500:40207500	1:40345000:41077500
1:40345000:41077500	1:43220000:43357500
1:43220000:43357500	1:43362500:43642500
1:43362500:43642500	1:43647500:43966250
1:43647500:43966250	1:44645000:45190000
1:44645000:45190000	1:46466250:46662500
1:46466250:46662500	1:46689375:46890000
1:46689375:46890000	1:46895000:47282500
1:46895000:47282500	1:47880000:48175000
1:47880000:48175000	1:48312500:49250000
1:48312500:49250000	1:51187500:51690000
1:51187500:51690000	1:51800000:52427500
1:51800000:52427500	1:52837500:53510000
1:52837500:53510000	1:53835000:54135000
1:53835000:54135000	1:54250000:54552500
1:54250000:54552500	1:55500000:55760000
1:55500000:55760000	1:55775000:56712500
1:55775000:56712500	1:56867500:57260000
1:56867500:57260000	1:57690000:58877500
1:57690000:58877500	1:58940000:59137500
1:58940000:59137500	1:59142500:60335000
1:59142500:60335000	1:60365000:61202500
1:60365000:61202500	1:61402500:62670000
1:61402500:62670000	1:63776875:64720000
1:63776875:64720000	1:64725000:65318750
1:64725000:65318750	1:65326250:65690000
1:65326250:65690000	1:67977500:68265000
1:67977500:68265000	1:69007500:69332500
1:69007500:69332500	1:69402500:70450000
1:69402500:70450000	1:70610000:70967500
1:70610000:70967500	1:71682500:71785000
1:71682500:71785000	1:72220000:73517500
1:72220000:73517500	1:74270000:75197500
1:74270000:75197500	1:75582500:75897500
1:75582500:75897500	1:79985000:80173125
1:79985000:80173125	1:83873750:84330000
1:83873750:84330000	1:84887500:85435000
1:84887500:85435000	1:87117500:87627500
1:87117500:87627500	1:87660000:89085000
1:87660000:89085000	1:89095000:89370000
1:89095000:89370000	1:90580000:91355000
1:90580000:91355000	1:91892500:92460000
1:91892500:92460000	1:92703750:93222500
1:92703750:93222500	1:93720000:94415000
1:93720000:94415000	1:94822500:95322500
1:94822500:95322500	1:95335000:95632500
1:95335000:95632500	1:95830000:96210000
1:95830000:96210000	1:96305000:96750000
1:96305000:96750000	1:97510000:98775000
1:97510000:98775000	1:98965000:100222500
1:98965000:100222500	1:100227500:101055000
1:100227500:101055000	1:101075000:101377500
1:101075000:101377500	1:101382500:101827500
1:101382500:101827500	1:108110000:108856875
1:108110000:108856875	1:109292500:109497500
1:109292500:109497500	1:109792500:109970000
1:109792500:109970000	1:110235000:110605000
1:110235000:110605000	1:110630000:111085000
1:110630000:111085000	1:111300000:111515000
1:111300000:111515000	1:111575000:111922500
1:111575000:111922500	1:111942500:112377500
1:111942500:112377500	1:113280000:113677500
1:113280000:113677500	1:113745000:114190000
1:113745000:114190000	1:114207500:114512500
1:114207500:114512500	1:114517500:114850000
1:114517500:114850000	1:114862500:115360000
1:114862500:115360000	1:115480000:115727500
1:115480000:115727500	1:116242500:116630000
1:116242500:116630000	1:117212500:117650000
1:117212500:117650000	1:117655000:118585000
1:117655000:118585000	1:118957500:119635000
1:118957500:119635000	1:120072500:120725625
1:120072500:120725625	1:144400000:145124375
1:144400000:145124375	1:145214375:145910625
1:145214375:145910625	1:146185625:148072500
1:146185625:148072500	1:149220000:150205000
1:149220000:150205000	1:151055000:151257500
1:151055000:151257500	1:151410000:151765000
1:151410000:151765000	1:151800000:152027500
1:151800000:152027500	1:152032500:152195000
1:152032500:152195000	1:152217500:152452500
1:152217500:152452500	1:152770000:153195000
1:152770000:153195000	1:153292500:153484375
1:153292500:153484375	1:154917500:155165000
1:154917500:155165000	1:156022500:156327500
1:156022500:156327500	1:156332500:156651250
1:156332500:156651250	1:156822500:157141875
1:156822500:157141875	1:158085000:158737500
1:158085000:158737500	1:158750000:159082500
1:158750000:159082500	1:159087500:160127500
1:159087500:160127500	1:160347500:160592500
1:160347500:160592500	1:160597500:161136250
1:160597500:161136250	1:161158750:161416875
1:161158750:161416875	1:161435625:161750000
1:161435625:161750000	1:162803750:163330000
1:162803750:163330000	1:164647500:165077500
1:164647500:165077500	1:165322500:165580000
1:165322500:165580000	1:165585000:166000625
1:165585000:166000625	1:166217500:166770000
1:166217500:166770000	1:166960000:167510000
1:166960000:167510000	1:167537500:168062500
1:167537500:168062500	1:168245000:169312500
1:168245000:169312500	1:169317500:169970000
1:169317500:169970000	1:171352500:171845000
1:171352500:171845000	1:172402500:172607500
1:172402500:172607500	1:172732500:173342500
1:172732500:173342500	1:173357500:173732500
1:173357500:173732500	1:174172500:174727500
1:174172500:174727500	1:175087500:175410000
1:175087500:175410000	1:178012500:178287500
1:178012500:178287500	1:178465000:178950000
1:178465000:178950000	1:179007500:179412500
1:179007500:179412500	1:179417500:179777500
1:179417500:179777500	1:180165000:180472500
1:180165000:180472500	1:182027500:182577500
1:182027500:182577500	1:182582500:182880000
1:182582500:182880000	1:183150000:183695000
1:183150000:183695000	1:184647500:185035000
1:184647500:185035000	1:185122500:185782500
1:185122500:185782500	1:190240000:190530000
1:190240000:190530000	1:191935000:192422500
1:191935000:192422500	1:192427500:192745000
1:192427500:192745000	1:192750000:193142500
1:192750000:193142500	1:193585000:194657500
1:193585000:194657500	1:195747500:196850000
1:195747500:196850000	1:197292500:197867500
1:197292500:197867500	1:199585000:200075000
1:199585000:200075000	1:200557500:200860000
1:200557500:200860000	1:200907500:201202500
1:200907500:201202500	1:201400000:201787500
1:201400000:201787500	1:202705000:202990000
1:202705000:202990000	1:203467500:203772500
1:203467500:203772500	1:203777500:204117500
1:203777500:204117500	1:204122500:204342500
1:204122500:204342500	1:204347500:204585000
1:204347500:204585000	1:204882500:205542500
1:204882500:205542500	1:206121250:206395000
1:206121250:206395000	1:207097500:207780000
1:207097500:207780000	1:207840000:208167500
1:207840000:208167500	1:208210000:209370000
1:208210000:209370000	1:209712500:210067500
1:209712500:210067500	1:211665000:212177500
1:211665000:212177500	1:212202500:212610000
1:212202500:212610000	1:218736875:220045625
1:218736875:220045625	1:220832500:221407500
1:220832500:221407500	1:223085000:223865000
1:223085000:223865000	1:224188750:224710000
1:224188750:224710000	1:224752500:225465000
1:224752500:225465000	1:225477500:225942500
1:225477500:225942500	1:228185000:228724375
1:228185000:228724375	1:228748125:229377500
1:228748125:229377500	1:229382500:229697500
1:229382500:229697500	1:229702500:230500000
1:229702500:230500000	1:230992500:231350000
1:230992500:231350000	1:231395000:231975000
1:231395000:231975000	1:233547500:234290000
1:233547500:234290000	1:234435000:235290000
1:234435000:235290000	1:235777500:236212500
1:235777500:236212500	1:240377500:241537500
1:240377500:241537500	1:241590000:242144375
1:241590000:242144375	1:242487500:243193750
1:242487500:243193750	1:244727500:245320000
1:244727500:245320000	1:245330000:246155000
1:245330000:246155000	1:246215000:246620000
1:246215000:246620000	10:116875:692500
10:116875:692500	10:1723750:3135000
10:1723750:3135000	10:4845000:5477500
10:4845000:5477500	10:5695000:5967500
10:5695000:5967500	10:6031250:6457500
10:6031250:6457500	10:6712500:7855000
10:6712500:7855000	10:7999375:9240000
10:7999375:9240000	10:10992500:11532500
10:10992500:11532500	10:11945000:12930000
10:11945000:12930000	10:14050000:14240000
10:14050000:14240000	10:14505000:15255000
10:14505000:15255000	10:15920000:16417500
10:15920000:16417500	10:16810000:17886875
10:16810000:17886875	10:18105625:18770000
10:18105625:18770000	10:19845000:21330000
10:19845000:21330000	10:21700000:22817500
10:21700000:22817500	10:22827500:23437500
10:22827500:23437500	10:23492500:24080000
10:23492500:24080000	10:26485000:26952500
10:26485000:26952500	10:27977500:28961875
10:27977500:28961875	10:29028125:29670000
10:29028125:29670000	10:29707500:30100000
10:29707500:30100000	10:30647500:30952500
10:30647500:30952500	10:30957500:32207500
10:30957500:32207500	10:33672500:34005000
10:33672500:34005000	10:35262500:35515625
10:35262500:35515625	10:35536875:35972500
10:35536875:35972500	10:38180000:39818125
10:38180000:39818125	10:41536250:42583125
10:41536250:42583125	10:42680625:44002500
10:42680625:44002500	10:44100000:45395000
10:44100000:45395000	10:45702500:46375000
10:45702500:46375000	10:46765000:47250000
10:46765000:47250000	10:48148750:48848750
