Achalasia	UMLS:C2939435
Addison’s disease	UMLS:C0271737
Adult Still's disease	UMLS:CN206037
Adult Still's disease	UMLS:C0085253
Agammaglobulinemia	UMLS:C0001768
Agammaglobulinemia	UMLS:C0221026
Alopecia areata	UMLS:C0002171
Amyloidosis	UMLS:C0002726
Ankylosing spondylitis	UMLS:C0038013
Anti-GBM/Anti-TBM nephritis	UMLS:C0027697
Antiphospholipid syndrome	UMLS:C0085278
Autoimmune angioedema	UMLS:C0002994
Autoimmune hepatitis	UMLS:C1332355
Autoimmune hepatitis	UMLS:C0241910
Autoimmune oophoritis	UMLS:C0878654
Autoimmune pancreatitis	UMLS:C2609129
Autoimmune retinopathy	UMLS:C3203657
Autoimmune urticaria	UMLS:C1304191
Axonal & neuronal neuropathy (AMAN)	UMLS:C3890941
Axonal & neuronal neuropathy (AMAN)	UMLS:CN207196
Baló disease	UMLS:C0004712
Behcet’s disease	UMLS:C0004943
Benign mucosal pemphigoid	UMLS:C0030804
Bullous pemphigoid	UMLS:C0030805
Castleman disease (CD)	UMLS:C0017531
Castleman disease (CD)	UMLS:C2931179
Castleman disease (CD)	UMLS:CN199886
Celiac disease	UMLS:C0007570
Chagas disease	UMLS:C0041234
Chagas disease	UMLS:C0153125
Chagas disease	UMLS:C0348781
Chagas disease	UMLS:C0348782
Chronic inflammatory demyelinating polyneuropathy (CIDP)	UMLS:C0393819
Chronic recurrent multifocal osteomyelitis (CRMO)	UMLS:C0410422
Churg-Strauss Syndrome (CSS) or Eosinophilic Granulomatosis (EGPA)	UMLS:C0008728
Cicatricial pemphigoid	UMLS:C1282359
Cogan’s syndrome	UMLS:CN199560
Cold agglutinin disease	UMLS:CN205305
Cold agglutinin disease	UMLS:C1264008
Congenital heart block	UMLS:C0149530
Coxsackie myocarditis	UMLS:C0027059
CREST syndrome	UMLS:C0206138
Crohn’s disease	UMLS:CN043071
Dermatitis herpetiformis	UMLS:C0011608
Dermatomyositis	UMLS:C0011633
Devic’s disease (neuromyelitis optica)	UMLS:C0027873
Discoid lupus	UMLS:C0024138
Dressler’s syndrome	UMLS:C0152107
Endometriosis	UMLS:C0014175
Eosinophilic esophagitis (EoE)	UMLS:C0341106
Eosinophilic fasciitis	UMLS:C0264005
Erythema nodosum	UMLS:C0014743
Essential mixed cryoglobulinemia	UMLS:C0272258
Essential mixed cryoglobulinemia	UMLS:C0343208
Essential mixed cryoglobulinemia	UMLS:C0340992
Evans syndrome	UMLS:C0272126
Fibromyalgia	UMLS:C0016053
Giant cell arteritis (temporal arteritis)	UMLS:C1956391
Giant cell myocarditis	UMLS:C0264856
Glomerulonephritis	UMLS:C0017658
Goodpasture’s syndrome	UMLS:C0403529
Granulomatosis with Polyangiitis	UMLS:C4050407
Granulomatosis with Polyangiitis	UMLS:C3495801
Graves’ disease	UMLS:C0018213
Guillain-Barre syndrome	UMLS:C0018378
Hashimoto’s thyroiditis	UMLS:C0677607
Hemolytic anemia	UMLS:C0002878
Henoch-Schonlein purpura (HSP)	UMLS:C0086922
Henoch-Schonlein purpura (HSP)	UMLS:C0034152
Herpes gestationis or pemphigoid gestationis (PG)	UMLS:C0019343
Hidradenitis Suppurativa (HS) (Acne Inversa)	UMLS:C0162836
Hypogammaglobulinemia AGM1 (IGHM)	UMLS:C1832241
Hypogammaglobulinemia AGM2 (IGLL1)	UMLS:C3150750
Hypogammaglobulinemia AGM3 (CD79A)	UMLS:C3150751
Hypogammaglobulinemia AGM4 (BLNK)	UMLS:C3150752
Hypogammaglobulinemia AGM5 (LRRC8A)	UMLS:C3150753
Hypogammaglobulinemia AGM6 (CD79B)	UMLS:C3150207
IgA nephropathy (Berger's disease)	UMLS:C0017661
IgG4-related sclerosing disease	UMLS:C3203653
Immune thrombocytopenic purpura (ITP)	UMLS:C0398650
Inclusion body myositis (IBM)	UMLS:C0238190
Interstitial cystitis (IC)	UMLS:C0282488
Interstitial cystitis (IC)	UMLS:C0600040
Interstitial cystitis (IC)	UMLS:C1720830
Kawasaki disease (Mucocutaneous Lymph Node Syndrome)	UMLS:C0026691
Lambert-Eaton syndrome	UMLS:C0022972
Lichen planus	UMLS:C0023646
Lichen sclerosus	UMLS:C0023652
Ligneous conjunctivitis	UMLS:C1274789
Linear IgA disease (LAD)	UMLS:C0406650
Lyme disease chronic	UMLS:C0024198
Meniere’s disease	UMLS:C0025281
Microscopic polyangiitis (MPA)	UMLS:C2347126
Mixed connective tissue disease (MCTD)	UMLS:C0026272
Mooren’s ulcer	UMLS:C0155072
Mucha-Habermann disease	UMLS:C1274297
Multifocal Motor Neuropathy (MMN) or MMNCB	UMLS:C0393847
Myasthenia gravis	UMLS:C0026896
Myositis	UMLS:C0027121
