Name	Id	tsne_clust	umap_clust
Agammaglobulinemia	UMLS:C0221026	1	2
Behcet’s disease	UMLS:C0004943	0	0
Chronic recurrent multifocal osteomyelitis (CRMO)	UMLS:C0410422	0	0
Cicatricial pemphigoid	UMLS:C1282359	4	0
Congenital heart block	UMLS:C0149530	3	3
Eosinophilic esophagitis (EoE)	UMLS:C0341106	0	0
Eosinophilic fasciitis	UMLS:C0264005	0	0
Giant cell arteritis (temporal arteritis)	UMLS:C1956391	0	0
Goodpasture’s syndrome	UMLS:C0403529	0	0
Granulomatosis with Polyangiitis	UMLS:C3495801	0	0
Hashimoto’s thyroiditis	UMLS:C0677607	4	2
Hypogammaglobulinemia AGM2 (IGLL1)	UMLS:C3150750	1	1
Hypogammaglobulinemia AGM3 (CD79A)	UMLS:C3150751	1	1
Hypogammaglobulinemia AGM4 (BLNK)	UMLS:C3150752	1	1
Hypogammaglobulinemia AGM5 (LRRC8A)	UMLS:C3150753	1	1
Hypogammaglobulinemia AGM6 (CD79B)	UMLS:C3150207	1	1
Immune thrombocytopenic purpura (ITP)	UMLS:C0398650	4	2
Inclusion body myositis (IBM)	UMLS:C0238190	3	3
Kawasaki disease (Mucocutaneous Lymph Node Syndrome)	UMLS:C0026691	0	0
Lichen sclerosus	UMLS:C0023652	3	3
Meniere’s disease	UMLS:C0025281	3	3
Myasthenia gravis	UMLS:C0026896	3	3
Myositis	UMLS:C0027121	3	3
Parry Romberg syndrome	UMLS:C0015458	3	3
Pernicious anemia (PA)	UMLS:C0002892	2	4
Primary biliary cirrhosis	UMLS:C0008312	3	3
Raynaud’s phenomenon	UMLS:C0034734	3	3
Rheumatoid arthritis	UMLS:C0003873	0	0
Schmidt syndrome	UMLS:C0085860	4	2
Sjögren’s syndrome	UMLS:C1527336	4	2
Stiff person syndrome (SPS)	UMLS:C0085292	3	3
Takayasu’s arteritis	UMLS:C0039263	0	0
Burkitt lymphoma	UMLS:C0006413	2	4
Acute myeloid leukemia	UMLS:C0023467	2	4
Chronic lymphocytic leukemia	UMLS:C0023434	2	4
Chronic myelogenous leukemia	UMLS:C0023473	2	4
Hodgkin's lymphoma	UMLS:C0019829	2	4
Myelodysplastic syndromes	UMLS:C3463824	2	4
Non-Hodgkin lymphoma	UMLS:C0024305	2	4
Mycosis fungoides	UMLS:C0026948	4	2
Type 1 diabetes	UMLS:C0011854	0	0
22q11.2 deletion syndrome (DiGeorge syndrome)	UMLS:C0220704	3	3
22q11.2 deletion syndrome (DiGeorge syndrome)	UMLS:C0431406	3	3
22q11.2 deletion syndrome (DiGeorge syndrome)	UMLS:C0012236	3	3
Aicardi-Goutieres syndrome	UMLS:C3489725	3	3
Aicardi-Goutieres syndrome	UMLS:C0796126	3	3
Aicardi-Goutieres syndrome	UMLS:C3489724	3	3
Amyloidosis familial visceral	UMLS:C0268389	0	0
Ataxia telangiectasia	UMLS:C0004135	2	4
Autoimmune lymphoproliferative syndrome	UMLS:C1328840	4	2
Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency	UMLS:C4015214	4	2
Autoimmune polyglandular syndrome type 1	UMLS:C0085859	2	1
Autosomal dominant hyper IgE syndrome	UMLS:C3489795	4	1
Autosomal recessive candidiasis familial chronic mucocutaneous	UMLS:C3714992	1	1
Autosomal recessive early-onset inflammatory bowel disease 28	UMLS:C2751053	4	0
Autosomal recessive early-onset inflammatory bowel disease 25	UMLS:C2675508	4	2
Barth syndrome	UMLS:C0574083	2	4
Blau syndrome	UMLS:C1861303	0	0
Bloom syndrome	UMLS:C0005859	2	4
C1q deficiency	UMLS:C3150902	4	2
Cartilage-hair hypoplasia	UMLS:C0220748	2	4
CHARGE syndrome	UMLS:C0265354	3	3
Chediak-Higashi syndrome	UMLS:C0007965	2	4
Cherubism	UMLS:C0008029	3	3
Combined immunodeficiency with skin granulomas	UMLS:C2673536	1	1
Complement component 2 deficiency	UMLS:C3150275	4	2
Complement component 8 deficiency type 1	UMLS:C3151081	1	1
Complement component 8 deficiency type 2	UMLS:C3151080	1	1
Cryoglobulinemic vasculitis	UMLS:C1852456	0	0
Cyclic neutropenia	UMLS:C0221023	4	2
Deficiency of interleukin-1 receptor antagonist	UMLS:C2748507	4	2
Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency	UMLS:C3280030	1	1
Epidermodysplasia verruciformis	UMLS:C0014522	2	4
