Pharmacologic Class_N0000008486	0.0006889885748508	Decreased Central Nervous System Disorganized Electrical Activity
Pharmacologic Class_N0000007542	0.0001909846091509	Benzodiazepines
Pharmacologic Class_N0000008048	8.221528666796455e-05	Sulfonamides
Pharmacologic Class_N0000185506	5.62201265939243e-05	Cytochrome P450 3A4 Inducers
Pharmacologic Class_N0000175975	5.146086014578913e-05	General Anesthesia
Pharmacologic Class_N0000182140	4.773842310415844e-05	Cytochrome P450 2C19 Inhibitors
Pharmacologic Class_N0000185503	3.220902826485081e-05	P-Glycoprotein Inhibitors
Pharmacologic Class_N0000175763	3.175235359230894e-05	Serotonin 1b Receptor Agonists
Pharmacologic Class_N0000175764	3.175235359230894e-05	Serotonin 1d Receptor Agonists
Pharmacologic Class_N0000000235	3.1277211964494824e-05	Carbonic Anhydrase Inhibitors
Pharmacologic Class_N0000175721	2.5324578781572955e-05	Nonsteroidal Anti-inflammatory Compounds
Pharmacologic Class_N0000182137	2.5249886675544814e-05	Cytochrome P450 2D6 Inhibitors
Pharmacologic Class_N0000175730	1.670941863733281e-05	Centrally-mediated Muscle Relaxation
Pharmacologic Class_N0000187064	1.5361278156960665e-05	Cytochrome P450 2B6 Inducers
Pharmacologic Class_N0000185507	1.532669774463835e-05	Cytochrome P450 2C9 Inducers
Pharmacologic Class_N0000185607	1.5315317468331156e-05	Cytochrome P450 2C19 Inducers
Pharmacologic Class_N0000191266	1.512896677774368e-05	Cytochrome P450 1A2 Inducers
Pharmacologic Class_N0000007621	1.4215132841923986e-05	Ergotamines
Pharmacologic Class_N0000009918	1.0085797081090983e-05	Adrenergic alpha2-Agonists
Pharmacologic Class_N0000175450	9.7191031142065e-06	Corticosteroid Hormone Receptor Agonists
Pharmacologic Class_N0000008016	8.58422408205301e-06	Barbiturates
Pharmacologic Class_N0000175729	8.397708619315498e-06	Central Nervous System Stimulation
Pharmacologic Class_N0000007618	8.088703473662575e-06	Ergolines
Pharmacologic Class_N0000000069	7.033940991809127e-06	Calcium Channel Antagonists
Pharmacologic Class_N0000008836	6.888660925955426e-06	Decreased Prostaglandin Production
Pharmacologic Class_N0000190118	6.699827168058258e-06	Cytochrome P450 3A Inducers
Pharmacologic Class_N0000187063	6.692289065503916e-06	Cytochrome P450 2C8 Inducers
Pharmacologic Class_N0000175799	6.688918908715278e-06	Dopamine D2 Antagonists
Pharmacologic Class_N0000191267	6.603118574804333e-06	Cytochrome P450 2D6 Inducers
Pharmacologic Class_N0000184143	5.434910253974247e-06	Carbamoyl Phosphate Synthetase 1 Activators
Pharmacologic Class_N0000000191	4.73237613214132e-06	Dihydrofolate Reductase Inhibitors
Pharmacologic Class_N0000000236	4.682829200030602e-06	Alkylating Activity
Pharmacologic Class_N0000175755	3.917724761155248e-06	DOPA Decarboxylase Inhibitors
Pharmacologic Class_N0000008118	3.670372382268387e-06	Xanthines
Pharmacologic Class_N0000175359	3.5021170791967278e-06	Increased Diuresis
Pharmacologic Class_N0000007544	3.463782775143717e-06	Phenothiazines
Pharmacologic Class_N0000175684	3.32482101117327e-06	Full Opioid Agonists
Pharmacologic Class_N0000000176	3.112299985331402e-06	Topoisomerase Inhibitors
Pharmacologic Class_N0000175651	2.76606292287874e-06	Increased Sympathetic Activity
Pharmacologic Class_N0000008859	2.370442538645723e-06	Decreased Renal K+ Excretion
Pharmacologic Class_N0000000190	2.0202279155113143e-06	Histamine H1 Receptor Antagonists
Pharmacologic Class_N0000009393	1.918172108288081e-06	Increased Medullary Respiratory Drive
Pharmacologic Class_N0000175964	1.749446142988974e-06	Vitamin K Inhibitors
Pharmacologic Class_N0000175073	1.7017346216541232e-06	Platinum-containing Compounds
Pharmacologic Class_N0000175076	1.5462082690629468e-06	Protein Kinase Inhibitors
Pharmacologic Class_N0000175702	1.407401449301658e-06	Partial Cholinergic Nicotinic Agonists
Pharmacologic Class_N0000167094	1.3515797270946707e-06	Benzothiazoles
Pharmacologic Class_N0000000160	1.333711776782062e-06	Cyclooxygenase Inhibitors
Pharmacologic Class_N0000009079	1.282064557597938e-06	Increased Acetylcholine Activity
Pharmacologic Class_N0000000233	1.2799154780417723e-06	Nucleic Acid Synthesis Inhibitors
Pharmacologic Class_N0000175372	1.2376197822843765e-06	Appetite Suppression
Pharmacologic Class_N0000000102	1.0928125923573434e-06	Norepinephrine Uptake Inhibitors
Pharmacologic Class_N0000007780	9.304596393995504e-07	Vinca Alkaloids
Pharmacologic Class_N0000175075	9.200961898161786e-07	Proteasome Inhibitors
Pharmacologic Class_N0000182141	9.046338770078918e-07	Cytochrome P450 3A4 Inhibitors
Pharmacologic Class_N0000175366	8.521107686396619e-07	Increased Diuresis at Loop of Henle
Pharmacologic Class_N0000175448	8.241937581973629e-07	Potassium Channel Antagonists
Pharmacologic Class_N0000007530	7.891269407248695e-07	Anthracyclines
Pharmacologic Class_N0000007700	7.046324047332474e-07	Retinoids
Pharmacologic Class_N0000000109	6.987360199419368e-07	Serotonin Uptake Inhibitors
Pharmacologic Class_N0000020015	6.526499539730492e-07	NMDA Receptor Antagonists
Pharmacologic Class_N0000175549	6.170004906473896e-07	Cystine Disulfide Reduction
Pharmacologic Class_N0000000194	5.71897790543922e-07	Somatostatin Receptor Agonists
Pharmacologic Class_N0000000104	5.582202840149095e-07	Cholinergic Muscarinic Agonists
Pharmacologic Class_N0000175917	5.582007946789686e-07	Thyroid Hormone Synthesis Inhibitors
Pharmacologic Class_N0000175628	5.481513542830097e-07	Decreased Histamine Release
Pharmacologic Class_N0000175085	5.370740729646242e-07	Microtubule Inhibition
Pharmacologic Class_N0000000111	5.360060697933474e-07	Folic Acid Metabolism Inhibitors
Pharmacologic Class_N0000000125	5.332606342825215e-07	Cholinergic Muscarinic Antagonists
Pharmacologic Class_N0000007620	5.306269195990476e-07	Ergot Alkaloids
Pharmacologic Class_N0000175976	5.094157659595142e-07	Local Anesthesia
Pharmacologic Class_N0000009034	4.936282141987681e-07	Emesis Suppression
Pharmacologic Class_N0000175361	4.465179591566146e-07	Catecholamine Synthesis Inhibitors
Pharmacologic Class_N0000000207	4.460893270018658e-07	Histamine Receptor Antagonists
Pharmacologic Class_N0000175459	4.420146215875636e-07	Nucleoside Analog
Pharmacologic Class_N0000007606	4.403048925374541e-07	Quinolones
Pharmacologic Class_N0000006806	4.342964688921994e-07	Amino Acids
Pharmacologic Class_N0000011301	4.1486547671457124e-07	Progesterone Congeners
Pharmacologic Class_N0000190114	4.092488597366539e-07	Cytochrome P450 3A Inhibitors
Pharmacologic Class_N0000008157	3.966685864576264e-07	Cardiac Glycosides
Pharmacologic Class_N0000175445	3.9419829056778245e-07	Chemokine Co-receptor 5 Antagonists
Pharmacologic Class_N0000175761	3.913250094982516e-07	Monoamine Oxidase-B Inhibitors
Pharmacologic Class_N0000008732	3.8264201497143836e-07	Decreased Mitosis
Pharmacologic Class_N0000006496	3.765307254573178e-07	Nicotine
Pharmacologic Class_N0000000183	3.732822499754474e-07	Acetyl Aldehyde Dehydrogenase Inhibitors
Pharmacologic Class_N0000000174	3.599093692934284e-07	Opioid Agonists
Pharmacologic Class_N0000175644	3.573772941596175e-07	Decreased Autonomic Ganglionic Activity
Pharmacologic Class_N0000182147	3.521904012924308e-07	Sigma-1 Receptor Agonists
Pharmacologic Class_N0000181819	3.521904012924308e-07	Uncompetitive NMDA Receptor Antagonists
Pharmacologic Class_N0000185504	3.349695202854876e-07	Cytochrome P450 2C9 Inhibitors
Pharmacologic Class_N0000008054	3.2024293241728364e-07	Sulfonylurea Compounds
Pharmacologic Class_N0000007707	3.2018823604081573e-07	Diphosphonates
Pharmacologic Class_N0000009922	3.172315758842681e-07	Adrenergic beta2-Agonists
Pharmacologic Class_N0000008217	3.0566221555073493e-07	Azoles
Pharmacologic Class_N0000000144	3.028261516398591e-07	Iron Chelating Activity
Pharmacologic Class_N0000007698	3.022533572537556e-07	Biguanides
Pharmacologic Class_N0000171207	3.011835710051196e-07	Porphyrinogens
Pharmacologic Class_N0000000122	2.992039098981893e-07	Adrenergic Agonists
Pharmacologic Class_N0000175817	2.972796390911172e-07	Serotonin 3 Receptor Antagonists
Pharmacologic Class_N0000009065	2.889250898894752e-07	Hematologic Activity Alteration
