multiplex	node	score
9	GO:0007267	3.648148272603694e-06
9	GO:0007268	3.301370496864899e-06
9	GO:0099537	3.301370496864899e-06
9	GO:0099536	3.301370496864899e-06
9	GO:0034220	2.7591434866359747e-06
9	GO:0007417	2.066425355338817e-06
9	GO:0098660	1.7769981395638114e-06
9	GO:0055114	1.7579215616347888e-06
9	GO:0006820	1.725577260605582e-06
9	GO:0006812	1.6718081933531632e-06
9	GO:0031175	1.6197810997782116e-06
9	GO:0007610	1.6195244206191753e-06
9	GO:0006897	1.5955669731961948e-06
9	GO:0030001	1.4607373967917064e-06
9	GO:0060322	1.4155372972536458e-06
9	GO:0009607	1.4043989780948327e-06
9	GO:0007420	1.382360715914044e-06
9	GO:0010243	1.372477029748354e-06
9	GO:0043269	1.3704221405483148e-06
9	GO:0019725	1.359526232976664e-06
9	GO:0048878	1.3452950660971148e-06
9	GO:0044708	1.335893544463854e-06
9	GO:0098655	1.333690773585618e-06
9	GO:0019752	1.2912887015223724e-06
9	GO:0098609	1.2637470086375606e-06
9	GO:0014070	1.2542380269862634e-06
9	GO:0007264	1.2381799396234787e-06
9	GO:0055082	1.1333809549531054e-06
9	GO:0006468	1.1292180115596553e-06
9	GO:0098662	1.086435371872164e-06
9	GO:0098742	1.085422009503698e-06
9	GO:0050801	1.057936291205398e-06
9	GO:0007156	1.0516209430646107e-06
9	GO:0098771	1.0498137163930359e-06
9	GO:0055080	1.0133632250868626e-06
9	GO:0034762	1.013014013264371e-06
9	GO:0034765	1.0095766446392513e-06
9	GO:0006935	1.0091080739840487e-06
9	GO:0042330	1.0091080739840487e-06
9	GO:0006873	1.0067645196568562e-06
9	GO:0051345	9.821267293271334e-07
9	GO:0030003	9.70587158528383e-07
9	GO:0000122	9.675954546312751e-07
9	GO:0055065	9.585453482289833e-07
9	GO:0042493	9.285536402342669e-07
9	GO:0050905	9.216092119083097e-07
9	GO:0006366	9.162843744367252e-07
9	GO:0006875	9.162061285141008e-07
9	GO:0042391	9.09905006923488e-07
9	GO:0008283	9.017352436693582e-07
9	GO:0034097	8.945845442003552e-07
9	GO:0032880	8.924970225939303e-07
9	GO:0044712	8.918991703839483e-07
9	GO:0044255	8.860515782611373e-07
9	GO:0051046	8.842758256691512e-07
9	GO:0015711	8.766099876012559e-07
9	GO:0007010	8.733259955112302e-07
9	GO:0043087	8.534601555960424e-07
9	GO:0016482	8.468041021271104e-07
9	GO:0006396	8.43788139873923e-07
9	GO:0008284	8.344541528507029e-07
9	GO:0043547	8.315669605383161e-07
9	GO:0007600	8.285938848826647e-07
9	GO:0072507	8.27180738026987e-07
9	GO:1903530	8.269600726323787e-07
9	GO:0050890	8.235511881853628e-07
9	GO:0055074	8.137548527612889e-07
9	GO:0060548	8.106131749414069e-07
9	GO:0032990	8.099747569534509e-07
9	GO:0050804	8.099109702884692e-07
9	GO:0072503	8.081392979135311e-07
9	GO:0006874	8.077834666477587e-07
9	GO:0015672	8.071290712389165e-07
9	GO:0048858	8.070625804179014e-07
9	GO:0044057	8.016286262986089e-07
9	GO:0043603	7.926722161104308e-07
9	GO:0000904	7.857741532467822e-07
9	GO:0007215	7.828463506162753e-07
9	GO:0061564	7.80145010299203e-07
9	GO:0033993	7.794668155247753e-07
9	GO:0006813	7.770677583181249e-07
9	GO:0005975	7.768491777405933e-07
9	GO:0015698	7.742701216934589e-07
9	GO:0048646	7.730127478012592e-07
9	GO:0043069	7.708093285786378e-07
9	GO:0006821	7.698113155775884e-07
9	GO:0043066	7.694638166545136e-07
9	GO:0050808	7.669680159106375e-07
9	GO:0071805	7.57041319932691e-07
9	GO:0071804	7.57041319932691e-07
9	GO:0001934	7.534569252865711e-07
9	GO:0050884	7.479191270793172e-07
9	GO:0048870	7.464478508468821e-07
9	GO:0051674	7.464478508468821e-07
9	GO:0016071	7.41771802466595e-07
9	GO:0022411	7.387110725015775e-07
9	GO:0048812	7.354792172133945e-07
9	GO:0007187	7.285648259404109e-07
9	GO:0007611	7.271643731669762e-07
9	GO:0048667	7.224457818461642e-07
