multiplex	node	score
1	Gene_3356	6.12761654911407e-05
1	Gene_2353	5.967733539379525e-05
1	Gene_6323	5.5746674818137674e-05
1	Gene_6326	5.5626825901121594e-05
1	Gene_773	5.307912047129332e-05
1	Gene_3363	5.0127794380127335e-05
1	Gene_112476	4.792996062207058e-05
1	Gene_6532	4.758751605077637e-05
1	Gene_1557	4.627670806565345e-05
1	Gene_7124	4.509551716592435e-05
1	Gene_627	4.4256269615614575e-05
1	Gene_3352	4.0764918356454384e-05
1	Gene_1576	3.705002663705455e-05
1	Gene_213	3.665616601486661e-05
1	Gene_2554	3.636560625466238e-05
1	Gene_6328	3.607397070120681e-05
1	Gene_5243	3.398994936574209e-05
1	Gene_2561	3.347856368464508e-05
1	Gene_2566	3.339097991948952e-05
1	Gene_6443	3.2588054183421395e-05
1	Gene_6329	3.1690934451183136e-05
1	Gene_5443	3.1567189494341894e-05
1	Gene_6335	3.139682355690896e-05
1	Gene_594857	3.121943696226282e-05
1	Gene_3351	3.088797818788377e-05
1	Gene_3350	2.9314208857020885e-05
1	Gene_6334	2.916247813636369e-05
1	Gene_2898	2.8849453697285576e-05
1	Gene_762	2.8846008035012832e-05
1	Gene_5024	2.8546000634934258e-05
1	Gene_9254	2.8261643289765107e-05
1	Gene_2891	2.7858318306575965e-05
1	Gene_79783	2.7844328133940023e-05
1	Gene_10100	2.738848684838099e-05
1	Gene_55966	2.737822116469149e-05
1	Gene_23245	2.712327815455977e-05
1	Gene_2558	2.6971728105272102e-05
1	Gene_1137	2.696456446930171e-05
1	Gene_1565	2.693745342144396e-05
1	Gene_1401	2.6798135518267947e-05
1	Gene_3359	2.675112556262196e-05
1	Gene_6505	2.6434843674275554e-05
1	Gene_7054	2.6392040195750432e-05
1	Gene_18	2.6373314989598877e-05
1	Gene_7442	2.630534521341039e-05
1	Gene_4855	2.6162734410760333e-05
1	Gene_79054	2.612798392008694e-05
1	Gene_1244	2.5920132179282428e-05
1	Gene_10203	2.5868208927831067e-05
1	Gene_6863	2.5804707147692666e-05
1	Gene_2915	2.5800685628174935e-05
1	Gene_1139	2.5692015010313316e-05
1	Gene_1636	2.5687263989200003e-05
1	Gene_4049	2.555740081045376e-05
1	Gene_4524	2.555186431387397e-05
1	Gene_796	2.5497967914332058e-05
1	Gene_1909	2.5436249127168715e-05
1	Gene_8913	2.5434513216987206e-05
1	Gene_7048	2.5339291448583646e-05
1	Gene_221692	2.5330686830952297e-05
1	Gene_338567	2.5201864171758134e-05
1	Gene_477	2.518792664583717e-05
1	Gene_1392	2.514920627847067e-05
1	Gene_10267	2.506436134705295e-05
1	Gene_63976	2.5038647619127433e-05
