Biological Process_GO:0055114	3.0976272170042607e-06	oxidation-reduction process
Cellular Component_GO:0005730	2.919605678335494e-06	nucleolus
Molecular Function_GO:0016491	2.6827673483588105e-06	oxidoreductase activity
Molecular Function_GO:0030246	1.990902935403239e-06	carbohydrate binding
Cellular Component_GO:0042175	1.967417449766765e-06	nuclear outer membrane-endoplasmic reticulum membrane network
Cellular Component_GO:0005789	1.94725425571714e-06	endoplasmic reticulum membrane
Cellular Component_GO:0005815	1.9414431928323443e-06	microtubule organizing center
Biological Process_GO:0051259	1.8143579135403283e-06	protein oligomerization
Molecular Function_GO:0004930	1.794101497355188e-06	G-protein coupled receptor activity
Biological Process_GO:0070647	1.787564783998174e-06	protein modification by small protein conjugation or removal
Cellular Component_GO:0005813	1.7583965156648454e-06	centrosome
Cellular Component_GO:0005581	1.7389307112334077e-06	collagen trimer
Biological Process_GO:0032446	1.6569083304463774e-06	protein modification by small protein conjugation
Cellular Component_GO:0005740	1.6484059860183638e-06	mitochondrial envelope
Cellular Component_GO:0031966	1.616812162582677e-06	mitochondrial membrane
Biological Process_GO:0005975	1.564021452086226e-06	carbohydrate metabolic process
Biological Process_GO:0051260	1.5579073032973112e-06	protein homooligomerization
Cellular Component_GO:0005635	1.5486908229991084e-06	nuclear envelope
Biological Process_GO:0019752	1.5350734121735766e-06	carboxylic acid metabolic process
Biological Process_GO:0016567	1.5073426702070777e-06	protein ubiquitination
Biological Process_GO:0008283	1.4509159315574991e-06	cell proliferation
Biological Process_GO:0044255	1.4185931999758225e-06	cellular lipid metabolic process
Cellular Component_GO:0031965	1.3829230430227456e-06	nuclear membrane
Cellular Component_GO:0099513	1.360913759161506e-06	polymeric cytoskeletal fiber
Cellular Component_GO:0099512	1.360913759161506e-06	supramolecular fiber
Cellular Component_GO:0098590	1.3430072518102923e-06	plasma membrane region
Biological Process_GO:0007267	1.3144819913444498e-06	cell-cell signaling
Biological Process_GO:0044712	1.304230521072336e-06	single-organism catabolic process
Molecular Function_GO:0016772	1.297884318583015e-06	transferase activity, transferring phosphorus-containing groups
Biological Process_GO:0006897	1.2885535374657704e-06	endocytosis
Cellular Component_GO:0005929	1.2452985431123954e-06	cilium
Molecular Function_GO:0008092	1.228332048800541e-06	cytoskeletal protein binding
Cellular Component_GO:0031225	1.2016269216186667e-06	anchored component of membrane
Molecular Function_GO:0022857	1.2012842566209369e-06	transmembrane transporter activity
Biological Process_GO:0051276	1.1945925657102505e-06	chromosome organization
Cellular Component_GO:0005768	1.170969932873789e-06	endosome
Cellular Component_GO:0045202	1.1424933700774857e-06	synapse
Biological Process_GO:0040008	1.1395991818882315e-06	regulation of growth
Molecular Function_GO:0008289	1.135243390132821e-06	lipid binding
Molecular Function_GO:0046982	1.1331692197448688e-06	protein heterodimerization activity
Molecular Function_GO:0008233	1.1072695153530844e-06	peptidase activity
Biological Process_GO:0000278	1.1058950649112655e-06	mitotic cell cycle
Biological Process_GO:0007010	1.104093123576627e-06	cytoskeleton organization
Molecular Function_GO:0005509	1.088358467346476e-06	calcium ion binding
Molecular Function_GO:0016788	1.077268850233658e-06	hydrolase activity, acting on ester bonds
Biological Process_GO:1901137	1.0542549649052973e-06	carbohydrate derivative biosynthetic process
Molecular Function_GO:0022891	1.0386432069941955e-06	substrate-specific transmembrane transporter activity
Cellular Component_GO:0000139	1.0290478687089948e-06	Golgi membrane
Molecular Function_GO:0032403	1.0215780393569445e-06	protein complex binding
Biological Process_GO:0032787	1.02066631528986e-06	monocarboxylic acid metabolic process
Biological Process_GO:0006396	1.0102533782698977e-06	RNA processing
Molecular Function_GO:0016817	1.007924170397433e-06	hydrolase activity, acting on acid anhydrides
Molecular Function_GO:0016818	1.007769435741223e-06	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
Molecular Function_GO:0070011	1.0062767358232135e-06	peptidase activity, acting on L-amino acid peptides
Molecular Function_GO:0016462	1.003659035371399e-06	pyrophosphatase activity
Cellular Component_GO:0098796	1.0004251190455208e-06	membrane protein complex
Cellular Component_GO:1990234	9.95678306377874e-07	transferase complex
Biological Process_GO:0006325	9.889071383604623e-07	chromatin organization
Biological Process_GO:0008037	9.877134706709914e-07	cell recognition
Biological Process_GO:0034220	9.841059768489418e-07	ion transmembrane transport
Cellular Component_GO:0031012	9.662710549412535e-07	extracellular matrix
Cellular Component_GO:0048471	9.544333211469992e-07	perinuclear region of cytoplasm
Biological Process_GO:0009607	9.521060030177124e-07	response to biotic stimulus
Biological Process_GO:0019637	9.47849596367908e-07	organophosphate metabolic process
Molecular Function_GO:0030234	9.414344531214488e-07	enzyme regulator activity
Biological Process_GO:0043086	9.39573003759731e-07	negative regulation of catalytic activity
Molecular Function_GO:0015075	9.38213001424785e-07	ion transmembrane transporter activity
Molecular Function_GO:0016301	9.379891655861856e-07	kinase activity
Biological Process_GO:1903047	9.3456795329219e-07	mitotic cell cycle process
Biological Process_GO:0006812	9.249422930211286e-07	cation transport
Biological Process_GO:0006366	9.22883055479342e-07	transcription from RNA polymerase II promoter
Biological Process_GO:0006468	9.206914209087904e-07	protein phosphorylation
Molecular Function_GO:0001067	9.182787874093288e-07	regulatory region nucleic acid binding
Molecular Function_GO:0000975	9.178697727493732e-07	regulatory region DNA binding
Molecular Function_GO:0044212	9.149924938147202e-07	transcription regulatory region DNA binding
Molecular Function_GO:0019904	9.1413145311685e-07	protein domain specific binding
Biological Process_GO:0099536	9.136807932224198e-07	synaptic signaling
Biological Process_GO:0007268	9.136807932224198e-07	synaptic transmission
