multiplex	node	score
1	HRAS	0.1194526354183916
1	CYP3A4	0.010934014051345614
1	FNTB	0.010690413397700466
1	RAF1	0.0010102632543101384
1	RASGRP1	0.0009835996461510185
1	DGKZ	0.0007803487491636476
1	RIN1	0.0007463408934177997
1	BRAF	0.00023675396238837296
1	RASA1	0.00021471468987395963
1	AURKA	0.00020675892962825125
1	ARAF	0.00020542367252256754
1	ABL2	0.00017205734785603508
1	NF1	0.00016535488794645176
1	EGFR	0.00014991327764384303
1	RASGRF1	0.0001424380001225173
1	RGL4	0.00013834997197907233
1	RALGDS	0.0001146045945878704
1	RGL1	0.00010495245071160231
1	SOS1	0.00010232803955183913
1	MAP2K1	9.649131392616056e-05
1	FNTA	9.06681626350533e-05
1	UGT2B7	8.585202831552835e-05
1	SRC	7.240408712414773e-05
1	RASIP1	6.24928142353161e-05
1	SHOC2	6.147396960024136e-05
1	CXCL1	6.140529438173595e-05
1	PIK3CD	5.742205717120268e-05
1	PRSS50	5.4017141267235426e-05
1	RIT2	5.32838313448707e-05
1	PIK3R1	5.306329605188737e-05
1	ZHX2	5.298021782990675e-05
1	PIK3CA	4.564717080009402e-05
1	BLID	4.384247953153833e-05
1	GRB2	4.253133141613279e-05
1	RGS14	4.16751664058272e-05
1	GREB1	4.134754982679563e-05
1	FYN	3.949026444624778e-05
1	PIK3CG	3.941137308551165e-05
1	MSH6	3.7979780944073294e-05
1	MUTYH	3.607566403819993e-05
1	FDPS	3.607127273966953e-05
1	SNRPE	3.493146823280543e-05
1	ERBB2	3.348523448745742e-05
1	KSR1	3.272904322302175e-05
1	KIT	3.241501909110259e-05
1	MGST1	3.228325489497491e-05
1	GK	3.2250023986937997e-05
1	MGST3	3.221563664249557e-05
1	MGST2	3.2135752627736395e-05
1	ABCB1	3.114194171128852e-05
1	KRAS	3.003633521517868e-05
1	FGFR1	2.9761789750179446e-05
1	DEAF1	2.8127284640085133e-05
1	RAP1B	2.776552660357991e-05
1	RGL2	2.7656409199995595e-05
1	MAPK3	2.731500352354905e-05
1	NR1I2	2.699562559126345e-05
1	FAM53C	2.6777124025019673e-05
1	FHOD1	2.6586275900115565e-05
1	PPA2	2.5865156459299554e-05
1	RNF115	2.5819935325619098e-05
1	RAP1GDS1	2.559368478173898e-05
1	PDGFRL	2.537189955514071e-05
1	CDC25C	2.5369888944008807e-05
1	ACSS1	2.5278448605675483e-05
1	KRBA1	2.5241025588256877e-05
1	ABCG2	2.4824475943171516e-05
1	PDE6D	2.4547701830823167e-05
1	IL24	2.451728651173699e-05
1	LCK	2.421775378251355e-05
1	CA2	2.4075026061630402e-05
1	MMP8	2.35087554165093e-05
1	AFDN	2.3378352360025044e-05
1	ABCC2	2.310126511407764e-05
1	CENPF	2.3060119057639638e-05
1	SPDL1	2.2971779321426962e-05
1	CA12	2.28231172161072e-05
1	CA9	2.2719445263422074e-05
1	MMP2	2.2687696416998977e-05
1	ALOX15	2.2687088304267393e-05
1	EPHB6	2.2657179643523073e-05
1	CDC37	2.2653507015331918e-05
1	GGPS1	2.2528198661267492e-05
1	CA14	2.223033876731945e-05
1	MAPK1	2.2187834852339294e-05
1	MMP9	2.2119998252010912e-05
1	ABCC6	2.2058025610662616e-05
1	FGFR4	2.1985927821261793e-05
1	ABCC1	2.1667132406249848e-05
1	NRAS	2.1514627969085854e-05
1	CASP3	2.1513431462788612e-05
