multiplex	node	score
1	CYP3A4	0.021864392102194225
1	FNTB	0.021380684686761405
1	FNTA	0.00018026692768820883
1	UGT2B7	0.00017166753685098502
1	FDPS	7.189394271102773e-05
1	GK	6.448467782519077e-05
1	MGST1	6.448065969072192e-05
1	MGST2	6.416551027058049e-05
1	MGST3	6.40695985866045e-05
1	ABCB1	5.8812804183090635e-05
1	FAM53C	5.303263942438895e-05
1	NR1I2	5.128695960004459e-05
1	KRBA1	5.0473186322817956e-05
1	ABCG2	4.787070532984502e-05
1	MMP8	4.69814216243142e-05
1	CA2	4.698139915415921e-05
1	CENPF	4.5784576297759995e-05
1	SPDL1	4.564876287563958e-05
1	GGPS1	4.4999830458983706e-05
1	ABCC2	4.497726597076862e-05
1	CA12	4.46280292316484e-05
1	MMP2	4.45156924674699e-05
1	CA9	4.449388607939836e-05
1	CA14	4.3546736020947145e-05
1	ABCC6	4.342696573888678e-05
1	MMP9	4.3384510758513774e-05
1	ALOX15	4.2815748119465915e-05
1	ABCC1	4.215506858443629e-05
1	MMP14	4.19275882726467e-05
1	ABCC3	3.9843300354679866e-05
1	TOP2A	3.971137467369684e-05
1	CASP3	3.837705239910512e-05
1	TOP2B	3.819913527566647e-05
1	DYRK1B	3.38382135367748e-05
1	DYRK1A	3.342014985804368e-05
1	SLC47A1	3.0205101382651887e-05
1	GRIP1	2.975849116119802e-05
1	PTPN4	2.787511496963809e-05
1	PTPRS	2.674786900030099e-05
1	ATP6V1A	2.6496047826668046e-05
1	CYP3A5	2.5357020341637823e-05
1	SHBG	2.3743323141423636e-05
1	NR3C1	2.356849513560907e-05
1	ANXA1	2.109026548582792e-05
1	KCNA1	2.0768781485756754e-05
1	APOL6	1.9860301211813714e-05
1	CYP1A2	1.8922828305454373e-05
1	CYP2C9	1.637967139156883e-05
1	CYP2C19	1.4777828079572041e-05
1	HTR2A	1.3719844712521228e-05
1	HTR2B	1.3082280795372842e-05
1	HTR2C	1.3027508290709392e-05
1	FYN	1.2107145799152502e-05
1	GABRA3	1.198042509319982e-05
1	CYP2E1	1.166801323119252e-05
1	HTR6	1.1582850673489307e-05
1	HTR1A	1.0878845647050335e-05
1	CYP2A13	1.0754532305328719e-05
1	KCNH2	9.96320443437067e-06
1	TACR2	9.900024834336273e-06
1	CCDC24	9.333013797652433e-06
1	LCK	8.81974095128487e-06
1	CYP1A1	8.713980684941931e-06
1	DRD3	8.62408862342854e-06
1	TBXAS1	8.534177646240014e-06
1	ADRA2B	8.478845509727584e-06
1	ADORA3	8.474608993021698e-06
1	AGXT	8.39098350779537e-06
1	SLC6A2	8.220721292244815e-06
1	SMG9	8.10982588387739e-06
1	SLC6A3	7.868016115754288e-06
1	ADRA2A	7.688656450646535e-06
1	DRD2	7.471522362980817e-06
1	EGFR	7.088572504520271e-06
1	ADRA2C	7.0840517578292324e-06
1	ADRA1D	7.063368146495196e-06
1	TACR1	7.027412891105834e-06
1	OPRM1	6.91893367363668e-06
1	CHRM1	6.91198726384895e-06
1	OPRK1	6.858206443872548e-06
1	SIGMAR1	6.752644479538489e-06
1	DRD1	6.629506493179113e-06
1	SLC6A4	6.452684262036389e-06
1	ERBB2	6.210262290625826e-06
