multiplex	node	score
2	DB01254	0.0002854529585639191
2	DB01268	0.0002525939626054362
2	DB06589	0.00019568898724841286
2	DB00398	0.00018387330672970482
2	DB09079	0.00014913606994085578
2	DB06616	0.00014002158289973745
2	DB04868	0.00013718915495247616
2	DB00619	0.00012204995025299117
2	DB08865	0.00011973693347063649
2	DB08912	0.00011771300654556288
2	DB06626	0.00011577068674615086
2	DB00530	0.00011438406687172908
2	DB08881	0.00010988427213754298
2	DB08896	8.21593349430947e-05
2	DB05294	8.034003979866646e-05
2	DB00020	7.237418481699285e-05
2	DB01109	7.156963491035757e-05
2	DB01064	6.723452313208764e-05
2	DB09130	6.245424493828627e-05
2	DB09054	6.014145928705835e-05
2	DB00170	5.89491223642635e-05
2	DB00317	5.6223726853424874e-05
2	DB03496	5.219629889894927e-05
2	DB00997	5.119780294082434e-05
2	DB08877	5.0270849059687593e-05
2	DB00359	4.957986880614408e-05
2	DB00041	4.280214845995448e-05
2	DB00675	3.9725276814090553e-05
2	DB00201	3.056925991756891e-05
2	DB00364	2.8432292633603355e-05
2	DB01593	2.8415220865040776e-05
2	DB09063	2.5091361819637217e-05
2	DB00686	2.41717784945449e-05
2	DB08895	2.39703437346376e-05
2	DB01373	2.3292970646719437e-05
2	DB00536	2.3176381690651707e-05
2	DB00074	2.1707391855816262e-05
2	DB04272	2.0386469215163977e-05
2	DB00163	1.9913995323240464e-05
2	DB09221	1.9239518042289564e-05
2	DB08901	1.75603938621366e-05
2	DB09053	1.5329290217928226e-05
2	DB00061	1.5056757334216853e-05
2	DB00970	1.4973718653072038e-05
2	DB08916	1.4795570003770764e-05
2	DB00975	1.4774558072078971e-05
2	DB00203	1.4560169813547377e-05
2	DB00820	1.4296739459827643e-05
2	DB09078	1.4134593988221375e-05
2	DB01098	1.406790325570566e-05
2	DB01259	1.2964796692005998e-05
2	DB00277	1.2789043371704058e-05
2	DB01169	1.2533727579134933e-05
2	DB00337	1.1639325965474908e-05
2	DB01645	1.1519082393696e-05
2	DB00864	1.1494032848028687e-05
2	DB00945	8.753976089004752e-06
2	DB00756	8.542255057677883e-06
2	DB00039	8.033624523169037e-06
2	DB00877	7.323070745365455e-06
2	DB00477	7.20643153504005e-06
2	DB01174	7.126736938545507e-06
2	DB00852	6.954987041810786e-06
2	DB08875	6.055469393215035e-06
2	DB01234	6.03289608104573e-06
2	DB01159	5.845142901071046e-06
2	DB01238	5.813235957366963e-06
2	DB05239	5.7573468002126775e-06
2	DB08911	5.743220859921469e-06
2	DB01327	5.4481953225911565e-06
2	DB00228	5.369071117263617e-06
2	DB00836	5.287876810043715e-06
2	DB01017	5.268870560364466e-06
2	DB00220	5.1804944720367655e-06
2	DB01708	5.041122692240672e-06
2	DB00659	5.0217070145679635e-06
2	DB00843	5.017282350540486e-06
2	DB00333	4.945670588739228e-06
2	DB00418	4.939697221336038e-06
2	DB00193	4.926167207155141e-06
2	DB01221	4.914554104371216e-06
2	DB04896	4.86915062199531e-06
2	DB00289	4.866532024380904e-06
2	DB00260	4.83715127248402e-06
2	DB00312	4.80623423783857e-06
2	DB01411	4.782964024804084e-06
2	DB00549	4.776441076288667e-06
2	DB01222	4.77477168121879e-06
2	DB00515	4.732563276788546e-06
2	DB01173	4.684934740289557e-06
2	DB00387	4.6582787850245194e-06
2	DB00915	4.656825329347296e-06
2	DB00854	4.629029203189505e-06
2	DB01043	4.623028763504075e-06
2	DB00454	4.581026785884687e-06
2	DB00072	4.517317893904659e-06
2	DB00206	4.375295364245136e-06
2	DB00342	4.300510032523997e-06
2	DB00070	4.03084476055837e-06
2	DB01162	3.9760153259360435e-06
2	DB00738	3.856056891646553e-06
2	DB00091	3.726398804625352e-06
2	DB00755	3.651693319143101e-06
2	DB01248	3.6244165687409907e-06
2	DB00637	3.4712655233148478e-06
2	DB00615	3.212277737843574e-06
2	DB09074	3.164325844009723e-06
2	DB08873	3.0829805899232114e-06
2	DB01110	3.0335851417462714e-06
2	DB00382	2.9885253288896796e-06
2	DB00257	2.952050922268993e-06
2	DB01136	2.9233386385619185e-06
2	DB09073	2.8588085151311844e-06
2	DB00927	2.8181993940384817e-06
2	DB01127	2.8078256141718668e-06
2	DB01229	2.7146764567782765e-06
2	DB00882	2.7067339228203864e-06
2	DB01204	2.6574158140724494e-06
2	DB00211	2.6447523328154835e-06
2	DB00514	2.632777708801026e-06
2	DB00983	2.6140110886135338e-06
2	DB00623	2.612911429692177e-06
2	DB00030	2.5525144382525973e-06
2	DB00834	2.520584651735901e-06
2	DB01087	2.517799563965509e-06
2	DB00803	2.510106928366457e-06
2	DB00841	2.497174100148725e-06
2	DB00822	2.4640676592084226e-06
2	DB00266	2.437530150704192e-06
2	DB01118	2.4279340263374516e-06
2	DB00605	2.312918201308841e-06
2	DB09052	2.2964956561190686e-06
2	DB01133	2.2775533942860944e-06
2	DB01235	2.273716617241336e-06
2	DB06789	2.2333739833854875e-06
2	DB05521	2.127862329102456e-06
2	DB00197	2.117608377841196e-06
2	DB00898	2.0733836700780026e-06
2	DB00982	2.0284079722427787e-06
2	DB00796	2.003566048059125e-06
2	DB00696	1.983058503938006e-06
2	DB00795	1.966644236002002e-06
2	DB00626	1.9648140927489767e-06
2	DB00112	1.939564006886806e-06
2	DB00188	1.9354376404269485e-06
2	DB00949	1.9120960259451106e-06
2	DB00679	1.8448738653239783e-06
2	DB05109	1.8189688479785105e-06
2	DB00641	1.7966141190283578e-06
