multiplex	node	score
2	DB04960	0.10466347596803934
2	DB00399	0.0003352433852254408
2	DB00773	0.00033011100323466943
2	DB00398	0.00022456148436309138
2	DB00637	0.00016618500386954044
2	DB01380	0.00016426269988888934
2	DB00630	0.00015039011683317362
2	DB01254	8.553529194580653e-05
2	DB01268	8.420808061187287e-05
2	DB06589	5.273820845458595e-05
2	DB00530	5.208027707249303e-05
2	DB06616	5.191156008982588e-05
2	DB09079	4.202713475930904e-05
2	DB08881	4.194000026834925e-05
2	DB00997	4.035352363237627e-05
2	DB00852	3.94549966193654e-05
2	DB04868	3.759289512731415e-05
2	DB00619	3.356256757097724e-05
2	DB08865	3.2839066520723664e-05
2	DB08912	3.239441949658924e-05
2	DB06626	3.1820614397983875e-05
2	DB08896	2.2234141616537288e-05
2	DB05294	2.2066331194863826e-05
2	DB00675	2.0888248359951193e-05
2	DB00020	1.9389737965105606e-05
2	DB01109	1.9140933591684503e-05
2	DB09130	1.82705398956353e-05
2	DB01064	1.7857401750025326e-05
2	DB09054	1.6894520847402437e-05
2	DB00317	1.627537882636889e-05
2	DB03496	1.6145226703271778e-05
2	DB00170	1.5753408938147545e-05
2	DB08877	1.4432771222241954e-05
2	DB01259	1.3440025961515684e-05
2	DB00359	1.3436614889735865e-05
2	DB00188	1.2832197980564573e-05
2	DB01645	1.2484503581320315e-05
2	DB00864	1.2404867851486686e-05
2	DB01248	1.1824728639592812e-05
2	DB00041	1.1486336072387084e-05
2	DB00220	1.1112949880042716e-05
2	DB00582	1.0971601671949248e-05
2	DB01149	1.0657092632842523e-05
2	DB00834	1.0524465224390827e-05
2	DB00877	1.027237414547372e-05
2	DB00260	1.0138771775554194e-05
2	DB01030	1.0099880875530198e-05
2	DB09065	1.003116212063087e-05
2	DB01232	9.959771619934554e-06
2	DB00673	9.889941436121078e-06
2	DB01127	9.871616994201463e-06
2	DB01026	9.835828230511717e-06
2	DB01167	9.746605953307442e-06
2	DB00342	9.689962931805871e-06
