1:3830000:4395000	1:4682500:5295625
1:4682500:5295625	1:5316250:5987500
1:5316250:5987500	1:6765000:7040000
1:6765000:7040000	1:7697500:7832500
1:7697500:7832500	1:8026250:8400625
1:8026250:8400625	1:8406875:8600000
1:8406875:8600000	1:9216250:9555000
1:9216250:9555000	1:9793750:9922500
1:9793750:9922500	1:10247500:10540000
1:10247500:10540000	1:10545000:11065000
1:10545000:11065000	1:12092500:12285000
1:12092500:12285000	1:12290000:13261250
1:12290000:13261250	1:13630000:14152500
1:13630000:14152500	1:14292500:15575000
1:14292500:15575000	1:15806250:16087500
1:15806250:16087500	1:16092500:16351250
1:16092500:16351250	1:16373750:16873750
1:16373750:16873750	1:17387500:17612500
1:17387500:17612500	1:17868750:18850000
1:17868750:18850000	1:18882500:19197500
1:18882500:19197500	1:19396250:19597500
1:19396250:19597500	1:19602500:20120000
1:19602500:20120000	1:20190000:20527500
1:20190000:20527500	1:20532500:20839375
1:20532500:20839375	1:20977500:21526250
1:20977500:21526250	1:21538750:21770000
1:21538750:21770000	1:22332500:22455000
1:22332500:22455000	1:23280000:23542500
1:23280000:23542500	1:23800625:24068125
1:23800625:24068125	1:24375000:24692500
1:24375000:24692500	1:24702500:25015625
1:24702500:25015625	1:25167500:25581250
1:25167500:25581250	1:25633750:26147500
1:25633750:26147500	1:26167500:26365000
1:26167500:26365000	1:26812500:27240625
1:26812500:27240625	1:27717500:28130000
1:27717500:28130000	1:28145000:28555000
1:28145000:28555000	1:29200000:29567500
1:29200000:29567500	1:29572500:31152500
1:29572500:31152500	1:31157500:31415000
1:31157500:31415000	1:31633125:32050000
1:31633125:32050000	1:32672500:32907500
1:32672500:32907500	1:33370625:33985000
1:33370625:33985000	1:34000000:35232500
1:34000000:35232500	1:35772500:36367500
1:35772500:36367500	1:36552500:36781250
1:36552500:36781250	1:36952500:37892500
1:36952500:37892500	1:37897500:38175000
1:37897500:38175000	1:38500000:39302500
1:38500000:39302500	1:39307500:39522500
1:39307500:39522500	1:39757500:40030000
1:39757500:40030000	1:40042500:40240000
1:40042500:40240000	1:40250000:40462500
1:40250000:40462500	1:40472500:41037500
1:40472500:41037500	1:41047500:41507500
1:41047500:41507500	1:41717500:41897500
1:41717500:41897500	1:41907500:42637500
1:41907500:42637500	1:42642500:43030000
1:42642500:43030000	1:43035000:43230000
1:43035000:43230000	1:43235000:43360000
1:43235000:43360000	1:43365000:43642500
1:43365000:43642500	1:43647500:43955000
1:43647500:43955000	1:44158750:44468750
1:44158750:44468750	1:45429375:45807500
1:45429375:45807500	1:45822500:46203750
1:45822500:46203750	1:46484375:46698750
1:46484375:46698750	1:46847500:47292500
1:46847500:47292500	1:48517500:48732500
1:48517500:48732500	1:49730000:50030000
1:49730000:50030000	1:51095000:51815000
1:51095000:51815000	1:51820000:52262500
1:51820000:52262500	1:52745000:53520000
1:52745000:53520000	1:53707500:54210000
1:53707500:54210000	1:55500000:55805000
1:55500000:55805000	1:56050000:56725000
1:56050000:56725000	1:57202500:58640000
1:57202500:58640000	1:58945000:59147500
1:58945000:59147500	1:61402500:62157500
1:61402500:62157500	1:62176875:62542500
1:62176875:62542500	1:62607500:62887500
1:62607500:62887500	1:62917500:63282500
1:62917500:63282500	1:63287500:63774375
1:63287500:63774375	1:64022500:64722500
1:64022500:64722500	1:64765000:65152500
1:64765000:65152500	1:65170000:65318750
1:65170000:65318750	1:65326250:65607500
1:65326250:65607500	1:65667500:65945000
1:65667500:65945000	1:66337500:66630000
1:66337500:66630000	1:66660000:67175000
1:66660000:67175000	1:67187500:67687500
1:67187500:67687500	1:67692500:67990000
1:67692500:67990000	1:67995000:68307500
1:67995000:68307500	1:69015000:69885000
1:69015000:69885000	1:69980000:70412500
1:69980000:70412500	1:70562500:71037500
1:70562500:71037500	1:71070000:71630000
1:71070000:71630000	1:72457500:72627500
1:72457500:72627500	1:74250000:75240625
1:74250000:75240625	1:77602500:78226875
1:77602500:78226875	1:78595000:79220000
1:78595000:79220000	1:83689375:84332500
1:83689375:84332500	1:84337500:84892500
1:84337500:84892500	1:84897500:85412500
1:84897500:85412500	1:85760000:86255000
1:85760000:86255000	1:86770000:87195000
1:86770000:87195000	1:87272500:87642500
1:87272500:87642500	1:87665000:87924375
1:87665000:87924375	1:89357500:89935000
1:89357500:89935000	1:89940000:90265000
1:89940000:90265000	1:91911250:92417500
1:91911250:92417500	1:92422500:92757500
1:92422500:92757500	1:92762500:93232500
1:92762500:93232500	1:94065000:94412500
1:94065000:94412500	1:96272500:96790000
1:96272500:96790000	1:97112500:97331250
1:97112500:97331250	1:97387500:98662500
1:97387500:98662500	1:99040000:100205000
1:99040000:100205000	1:101352500:101857500
1:101352500:101857500	1:102135000:103942500
1:102135000:103942500	1:104270000:106205000
1:104270000:106205000	1:108255000:108856875
1:108255000:108856875	1:108981875:109195000
1:108981875:109195000	1:109207500:109497500
1:109207500:109497500	1:109502500:109697500
1:109502500:109697500	1:109730000:109957500
1:109730000:109957500	1:110652500:111042500
1:110652500:111042500	1:111047500:111327500
1:111047500:111327500	1:111382500:111547500
1:111382500:111547500	1:111632500:111992500
1:111632500:111992500	1:111997500:112367500
1:111997500:112367500	1:112377500:112845000
1:112377500:112845000	1:112915000:113257500
1:112915000:113257500	1:113357500:113620000
1:113357500:113620000	1:113628750:114262500
1:113628750:114262500	1:114267500:114532500
1:114267500:114532500	1:114552500:114870000
1:114552500:114870000	1:114875000:115352500
1:114875000:115352500	1:115492500:115682500
1:115492500:115682500	1:116647500:117125000
1:116647500:117125000	1:117177500:117680000
1:117177500:117680000	1:117685000:118027500
1:117685000:118027500	1:118037500:118567500
1:118037500:118567500	1:118572500:119597500
1:118572500:119597500	1:144400000:145257500
1:144400000:145257500	1:145340000:145896250
1:145340000:145896250	1:146178750:146782500
1:146178750:146782500	1:146887500:148130000
1:146887500:148130000	1:149200625:150117500
1:149200625:150117500	1:150218750:150982500
1:150218750:150982500	1:151040000:151245000
1:151040000:151245000	1:151847500:152022500
1:151847500:152022500	1:152027500:152161250
1:152027500:152161250	1:152173750:152467500
1:152173750:152467500	1:152502500:153312500
1:152502500:153312500	1:153558125:153967500
1:153558125:153967500	1:154442500:154902500
1:154442500:154902500	1:154917500:155062500
1:154917500:155062500	1:156027500:156320000
1:156027500:156320000	1:157150000:157513750
1:157150000:157513750	1:158105000:159087500
1:158105000:159087500	1:159287500:159730000
1:159287500:159730000	1:160057500:160257500
1:160057500:160257500	1:160277500:160590000
1:160277500:160590000	1:160665000:160995000
1:160665000:160995000	1:161158750:161415000
1:161158750:161415000	1:161725000:162025000
1:161725000:162025000	1:162037500:162427500
1:162037500:162427500	1:162786875:163372500
